ingredient,canonical_name,groq_confidence,fda_search_term,brand_names,generic_names,manufacturers,dosage_forms,warnings_count,interactions_count,adverse_count,indications_count,first_warning,first_interaction,first_adverse,first_indication
hydrocortisone butyrate,hydrocortisone butyrate,0.99,hydrocortisone butyrate,Hydrocortisone Butyrate,HYDROCORTISONE BUTYRATE,"Lupin Pharmaceuticals, Inc. | Taro Pharmaceuticals U.S.A., Inc. | The J. Molner Company LLC",,0,0,13,2,,,6 ADVERSE REACTIONS The following adverse reactions are discussed in greater detail in other sections of the labeling:,1 INDICATIONS AND USAGE Hydrocortisone Butyrate Lotion is indicated for the topical treatment of mild to moderate atopic dermatitis in patients 3 months of age and older
hydrocortisone sodium succinate,hydrocortisone,0.99,hydrocortisone,"Cortifoam | PS-2896 Hydrocortisone Cream 1%, 0.9g | anti itch","HYDROCORTISONE | HYDROCORTISONE ACETATE | PS-2896 HYDROCORTISONE CREAM 1%, 0.9G","Meijer, Inc. | ProStat First Aid LLC | Viatris Specialty LLC",,10,10,9,5,Warnings For external use only Do not use,Drug Interactions Aminoglutethimide: Aminoglutethimide may lead to a loss of corticosteroid-induced adrenal suppression,"ADVERSE REACTIONS (listed alphabetically, under each subsection) To report SUSPECTED ADVERSE REACTIONS, contact Meda Pharmaceuticals Inc","temporarily relieves itching associated with minor skin irritations, inflammation, and rashes due to:"
hydrogen peroxide,hydrogen peroxide,0.95,hydrogen peroxide,Hydrogen Peroxide | Walgreens 3 Hydrogen Peroxide Wipes,HYDROGEN PEROXIDE,HART Health | Navajo Manufacturing Company Inc. | Walgreen Company,,1,0,0,1,Warnings For external use only,,,"Uses first aid to help prevent the risk of infection in minor cuts, scrapes and burns aids in the removal of phlegm, mucous, or other secretions associated with occasional sore mouth"
hydrogenated lecithin,phosphatidylcholine,0.95,phosphatidylcholine,SAMe Liquescence 3036,SAME LIQUESCENCE,Professional Complementary Health Formulas,,6,0,0,1,WARNINGS Consult a doctor if condition worsens or if symptoms persist,,,"INDICATIONS For the temporary relief of sadness, anxiousness, mild muscle or joint pain, stiffness, or inflammation, occasional headache, or fatigue.*"
hydrolite penthylene glycol,polyethylene glycol,0.95,polyethylene glycol,Foster and Thrive Advanced Relief Eye Drops | Foster and Thrive Dry Eye Relief | Foster and Thrive Lubricating Tears Lubricant Eye Drops,"POLYETHYLENE GLYCOL 400 | POLYETHYLENE GLYCOL 400, PROPYLENE GLYCOL | POLYETHYLENE GLYCOL 400, TETRAHYDROZOLINE HCL",Strategic Sourcing Services LLC,,5,0,0,1,"Warnings For external use only Do not use this product if solution changes color or becomes cloudy When using this product to avoid contamination, do not touch tip of container to any surface",,,Uses for protection against further irritation for temporary relief of burning and irritation due to dryness of the eye
hydrolyzed glycosaminglycans,sodium hyaluronate,0.95,sodium hyaluronate,BARUBT Luxuriose straffende lo-tion | YOUBUY Acne Care and Moisturizing Gel-Night Use | YOUBUY Snail Mucin 92% Moisturizer,ACNE CARE AND MOISTURIZING GEL-NIGHT USE | LUXURIOSE STRAFFENDE LOTION | SNAIL MUCIN 92% MOISTURIZER,"Guangdong Youbaijia Cosmetic Industry Co., Ltd",,1,0,0,1,For external use only,,,"LONG-LASTING MOISTURIZING, EFFECTIVE SOOTHING,ENVIRONMENTALLY FRIENDLY"
hydromorphone hydrochloride,hydromorphone,0.99,hydromorphone,HYDROMORPHONE HYDROCHLORIDE | Hydromorphone Hydrochloride,HYDROMORPHONE HYDROCHLORIDE,ASCLEMED USA INC. | Bryant Ranch Prepack | Padagis US LLC,,0,10,6,5,,7 DRUG INTERACTIONS Table 1 includes clinically significant drug interactions with hydromorphone hydrochloride,"6 ADVERSE REACTIONS The following serious adverse reactions are described, or described in greater detail, in other sections: Addiction, Abuse, and Misuse [see Warnings and Precautions (5.2) ] Life-Threatening Respiratory Depression [see Warnings and Precautions (5.3) ] Interactions with Benzodiazep",1 INDICATIONS AND USAGE Hydromorphone hydrochloride oral solution and hydromorphone hydrochloride tablets are indicated for the management of pain severe enough to require an opioid analgesic and for which alternative treatments are inadequate
hydroquinone,hydroquinone,0.99,hydroquinone,OBAGI-C Rx system C-CLARIFYING SERUM NORMAL TO oily SKIN LIGHTENING SERUM WITH VITAMIN C | Vivant True Tone | Vivant True Tone Forte,HYDROQUINONE,"Obagi Cosmeceuticals LLC | Vivant Pharmaceuticals, LLC",,1,0,3,1,"Warnings Warnings ■Sun exposure should be avoided indefinitely by using a high SPF sunscreen agent, a sunblocking agent, or protective clothing to cover bleached skin in order to prevent darkening from reoccurring ■ Do not get into eyes ■Keep out of reach of children ■For external use only ■Not reco",,ADVERSE REACTIONS No systemic adverse reactions have been reported,Uses Uses ■ For the gradual fading of age spots ■ Lightens dark pigment in the skin ■This product provides minimal SPF protection
hydroxocobalamin,hydroxocobalamin,0.99,hydroxocobalamin,Cyanokit | Hydroxocobalamin,HYDROXOCOBALAMIN,"Actavis Pharma, Inc. | BTG INTERNATIONAL INC.",,4,3,3,5,WARNINGS Avoid the intravenous route,7 DRUG INTERACTIONS Formal drug interaction studies have not been conducted with CYANOKIT,"ADVERSE REACTIONS Mild transient diarrhea, itching, transitory exanthema, feeling of swelling of entire body, and anaphylaxis","INDICATIONS AND USAGE Pernicious anemia, both uncomplicated and accompanied by nervous system involvement"
hydroxy ethylsalicylate,hydroxyethyl salicylate,0.99,hydroxyethyl salicylate,Glimepiride | Naproxen,GLIMEPIRIDE | NAPROXEN,A-S Medication Solutions | American Health Packaging,,5,10,15,5,"WARNINGS Drugs with thyroid hormone activity, alone or together with other therapeutic agents, have been used for the treatment of obesity",7 DRUG INTERACTIONS See Table 1 for clinically significant drug interactions with naproxen,6 ADVERSE REACTIONS The following adverse reactions are discussed in greater detail in other sections of the labeling:,1 INDICATIONS AND USAGE Naproxen tablets and naproxen sodium tablets are indicated for: the relief of the signs and symptoms of:
hydroxybenzoa,benzoic acid,0.95,benzoic acid,CardCare | RENELIX | URIBEL TABS,"BENZOIC ACID, NITRIC ACID, APIS MELLIFERA, BERBERIS VULGARIS ROOT BARK, COLCHICUM AUTUMNALE BULB, PROTORTONIA CACTI, SOLIDAGO VIRGAUREA FLOWERING TOP, AND CAPSELLA BURSA-PASTORIS TOP | ECHINACEA, HYPERICUM, VALERIANA, ACONITUM NAP., ARSENICUM ALB., AUR. MET., BARYTA CARB., BENZOICUM AC., BERBER. VULG., BRYONIA, CALC. FLUOR., CANTHARIS, CEANOTHUS, CHELIDONIUM MAJ., CHIONANTHUS, CINCHONA, CONVALLARIA, CROTALUS HOR., DIGITALIS, GELSEMIUM, GLONOINUM, HYDROFLUORICUM AC. KALI IOD., LACHESIS, LYCOPUS, NAJA, NUX VOM., PHOS., PULSATILLA, RHUS TOX., VIPERA, ELAPS. | METHENAMINE, BENZOIC ACID, PHENYL SALICYLATE, METHYLENE BLUE, AND HYOSCYAMINE SULFATE","Mission Pharmacal Company | Newton Laboratories, Inc. | PEKANA Naturheilmittel GmbH",,4,0,0,1,WARNINGS SECTION WARNINGS: Keep out of reach of children,,,"INDICATIONS & USAGE SECTION Formulated for symptoms such as fear, cold hands & feet, headache, weakness, sallow skin and palpitations"
hydroxycarbamide,hydroxyurea,0.99,hydroxyurea,DROXIA | HYDROXYUREA,HYDROXYUREA,"Coupler LLC | Golden State Medical Supply, Inc. | Waylis Therapeutics LLC",,0,10,13,5,,7 DRUG INTERACTIONS Antiretroviral drugs (7.1) Laboratory Test Interference,6 ADVERSE REACTIONS,"1 INDICATIONS AND USAGE Hydroxyurea capsules, USP is indicated for the treatment of: Resistant chronic myeloid leukemia"
hydroxychloroquine sulphate,hydroxychloroquine,0.99,hydroxychloroquine,HYDROXYCHLOROQUINE SULFATE | Hydroxychloroquine Sulfate,HYDROXYCHLOROQUINE SULFATE,"Asclemed USA, Inc. | Creekwood Pharmaceuticals LLC | Laurus Labs Limited",,0,10,2,5,,7 DRUG INTERACTIONS Drugs Prolonging QT Interval and Other Arrhythmogenic Drugs,6 ADVERSE REACTIONS The following adverse reactions are described in greater detail in other sections: Cardiomyopathy and Ventricular Arrhythmias [see Warnings and Precautions (5.1) ] Retinal Toxicity [see Warnings and Precautions (5.2) ] Serious Skin Reactions [see Warnings and Precautions (5.3) ] ,"1 INDICATIONS AND USAGE Hydroxychloroquine sulfate tablets are an antimalarial and antirheumatic indicated for the: Treatment of uncomplicated malaria due to Plasmodium falciparum, Plasmodium malariae, Plasmodium ovale, and Plasmodium vivax in adult and pediatric patients"
hydroxycitric acid,hydroxycitric acid,0.99,hydroxycitric acid,Moisturizing Antibacterial | Naproxen,BENZALKONIUM CHLORIDE | NAPROXEN,A-S Medication Solutions | Walmart Inc.,,8,2,4,1,WARNINGS NOT FOR INJECTION,Drug Interactions: Specific drug interaction studies have not been conducted with ofloxacin ophthalmic solution,ADVERSE REACTIONS Ophthalmic use: The most frequently reported drug-related adverse reaction was transient ocular burning or discomfort,INDICATIONS AND USAGE Ofloxacin ophthalmic solution is indicated for the treatment of infections caused by susceptible strains of the following bacteria in the conditions listed below:
hydroxyethyl,hydroxyethyl,0.99,hydroxyethyl,Anubis Barcelona Regul Oil | Naturally Inspired Irritated Eye Relief | Nite,"CETEARYL ETHYLHEXANOATE, PROPYLENE GLYCOL, GLYCERYL STEARATE SE | HYDROXYETHYL CELLULOSE | PERSONAL LUBRICANT LOTION",ANUBIS COSMETICS SL | Nite Storm LLC | Similasan Corporation,,7,0,0,1,"Warning: If irritaiton or discomfort occurs, discontinue use immediately and consult a physician",,,"Usage: Gently squeeze out an appropriate amount of lubricant, and evenly apply it on the desired area"
hydroxyethyl cellulose,hydroxyethyl cellulose,0.99,hydroxyethyl cellulose,Anubis Barcelona Regul Oil | Naturally Inspired Irritated Eye Relief | Nite,"CETEARYL ETHYLHEXANOATE, PROPYLENE GLYCOL, GLYCERYL STEARATE SE | HYDROXYETHYL CELLULOSE | PERSONAL LUBRICANT LOTION",ANUBIS COSMETICS SL | Nite Storm LLC | Similasan Corporation,,7,0,0,1,"Warning: If irritaiton or discomfort occurs, discontinue use immediately and consult a physician",,,"Usage: Gently squeeze out an appropriate amount of lubricant, and evenly apply it on the desired area"
hydroxyethyl ethylcellulose,hydroxyethyl cellulose,0.95,hydroxyethyl cellulose,Anubis Barcelona Regul Oil | Naturally Inspired Irritated Eye Relief | Nite,"CETEARYL ETHYLHEXANOATE, PROPYLENE GLYCOL, GLYCERYL STEARATE SE | HYDROXYETHYL CELLULOSE | PERSONAL LUBRICANT LOTION",ANUBIS COSMETICS SL | Nite Storm LLC | Similasan Corporation,,7,0,0,1,"Warning: If irritaiton or discomfort occurs, discontinue use immediately and consult a physician",,,"Usage: Gently squeeze out an appropriate amount of lubricant, and evenly apply it on the desired area"
hydroxyethyl salicylate,hydroxyethyl salicylate,0.0,hydroxyethyl salicylate,Glimepiride | Naproxen,GLIMEPIRIDE | NAPROXEN,A-S Medication Solutions | American Health Packaging,,5,10,15,5,"WARNINGS Drugs with thyroid hormone activity, alone or together with other therapeutic agents, have been used for the treatment of obesity",7 DRUG INTERACTIONS See Table 1 for clinically significant drug interactions with naproxen,6 ADVERSE REACTIONS The following adverse reactions are discussed in greater detail in other sections of the labeling:,1 INDICATIONS AND USAGE Naproxen tablets and naproxen sodium tablets are indicated for: the relief of the signs and symptoms of:
hydroxyethyl starch,hydroxyethyl starch,0.99,hydroxyethyl starch,Glimepiride | Methocarbamol | Pain Reliever Extra Strength,ACETAMINOPHEN | GLIMEPIRIDE | METHOCARBAMOL,American Health Packaging | Proficient Rx LP | Valu Merchandisers Company,,6,10,12,4,"WARNINGS Since methocarbamol may possess a general CNS depressant effect, patients receiving Methocarbamol tablets, USP should be cautioned about combined effects with alcohol and other CNS depressants","7 DRUG INTERACTIONS Certain medications may affect glucose metabolism, requiring glimepiride tablets dose adjustment and close monitoring of blood glucose ( 7.1 )","6 ADVERSE REACTIONS The following serious adverse reactions are discussed in more detail below and elsewhere in the labeling: Hypoglycemia [see Warnings and Precautions (5.1) ] Hemolytic anemia [see Warnings and Precautions (5.3) ] In clinical trials, the most common adverse reactions with glimepiri",1 INDICATIONS AND USAGE Glimepiride tablets are indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus [see Clinical Studies (14.1) ]
hydroxyethylcellulose,hydroxyethylcellulose,0.0,hydroxyethylcellulose,KENX WATER BASED PERSONAL LUBRICANT | Naturally Inspired Complete Eye Relief,HYDROXYETHYL CELLULOSE | WATER BASED PERSONAL LUBRICANT,SB Innovations LLC | Similasan Corporation,,5,0,0,2,"If iritation or discomfort occurs, discontinue use and consult a physician",,,Apply and massage desired areas for a bilssful massage experience
hydroxyl ethyl cellulose,hydroxyethyl cellulose,0.98,hydroxyethyl cellulose,Anubis Barcelona Regul Oil | Naturally Inspired Irritated Eye Relief | Nite,"CETEARYL ETHYLHEXANOATE, PROPYLENE GLYCOL, GLYCERYL STEARATE SE | HYDROXYETHYL CELLULOSE | PERSONAL LUBRICANT LOTION",ANUBIS COSMETICS SL | Nite Storm LLC | Similasan Corporation,,7,0,0,1,"Warning: If irritaiton or discomfort occurs, discontinue use immediately and consult a physician",,,"Usage: Gently squeeze out an appropriate amount of lubricant, and evenly apply it on the desired area"
hydroxymethyl cellulose,hydroxymethyl cellulose,0.0,hydroxymethyl cellulose,Mekinist | Naproxen,NAPROXEN | TRAMETINIB,A-S Medication Solutions | Novartis Pharmaceuticals Corporation,,9,10,15,5,Warnings For external use only Allergy alert This product may cause a severe allergic realction,7 DRUG INTERACTIONS See Table 1 for clinically significant drug interactions with naproxen,6 ADVERSE REACTIONS The following adverse reactions are discussed in greater detail in other sections of the labeling:,1 INDICATIONS AND USAGE Naproxen tablets and naproxen sodium tablets are indicated for: the relief of the signs and symptoms of:
hydroxyprogesterone caproate,hydroxyprogesterone caproate,0.99,hydroxyprogesterone caproate,Hydroxyprogesterone Caproate,HYDROXYPROGESTERONE CAPROATE,AuroMedics Pharma LLC,,5,0,7,1,"WARNINGS Thrombotic and Thromboembolic Events Discontinue the medication pending examination if there is a sudden partial or complete loss of vision or if there is a sudden onset of proptosis, diplopia, or migraine",,ADVERSE REACTIONS A,"INDICATIONS AND USAGE Hydroxyprogesterone Caproate Injection, USP is indicated in non-pregnant women: for the treatment of advanced adenocarcinoma of the uterine corpus (Stage III or IV); in the management of amenorrhea (primary and secondary) and abnormal uterine bleeding due to hormonal imbalance "
