ingredient,canonical_name,groq_confidence,fda_search_term,brand_names,generic_names,manufacturers,dosage_forms,warnings_count,interactions_count,adverse_count,indications_count,first_warning,first_interaction,first_adverse,first_indication
sorbitol,sorbitol,0.95,sorbitol,Chemstat | iq shield pro 60g goat milk silk | turmeric kojic acid product,"60G GOAT MILK SILK SOAP | GLYCERINUM, TARAXACUM OFFICINALE, PHYTOLACCA DECANDRA, ARSENICUM ALBUM, NITRICUM ACIDUM, NUX VOMICA, PETROLEUM, PHOSPHORICUM ACIDUM, PHOSPHORUS, ACETYLSALICYLICUM ACIDUM, GLONOINUM, INSULINUM (HUMAN), LITHIUM CARBONICUM, THYROIDINUM (SUIS), ACETICUM ACIDUM, BENZOICUM ACIDUM, BENZYL ALCOHOL, BORICUM ACIDUM, CHLORINUM, CORTISONE ACETICUM, EUGENOL, FOLLICULINUM, ISOPROPYL PALMITATE, LACTICUM ACIDUM, PETROLEUM JELLY, PHENYL BUTAZONE, PLUMBUM METALLICUM, POTASSIUM SORBATE, RESORCINUM, SALICYLICUM ACIDUM, | TURMERIC KOJIC ACID SOAP","AIKM Product Corp | Energique, Inc.",,1,0,0,1,warnings For external use only,,,"usage Wash hands, take a shower, clean the skin,"
sorbitol solution,sorbitol,0.95,sorbitol,Chemstat | iq shield pro 60g goat milk silk | turmeric kojic acid product,"60G GOAT MILK SILK SOAP | GLYCERINUM, TARAXACUM OFFICINALE, PHYTOLACCA DECANDRA, ARSENICUM ALBUM, NITRICUM ACIDUM, NUX VOMICA, PETROLEUM, PHOSPHORICUM ACIDUM, PHOSPHORUS, ACETYLSALICYLICUM ACIDUM, GLONOINUM, INSULINUM (HUMAN), LITHIUM CARBONICUM, THYROIDINUM (SUIS), ACETICUM ACIDUM, BENZOICUM ACIDUM, BENZYL ALCOHOL, BORICUM ACIDUM, CHLORINUM, CORTISONE ACETICUM, EUGENOL, FOLLICULINUM, ISOPROPYL PALMITATE, LACTICUM ACIDUM, PETROLEUM JELLY, PHENYL BUTAZONE, PLUMBUM METALLICUM, POTASSIUM SORBATE, RESORCINUM, SALICYLICUM ACIDUM, | TURMERIC KOJIC ACID SOAP","AIKM Product Corp | Energique, Inc.",,1,0,0,1,warnings For external use only,,,"usage Wash hands, take a shower, clean the skin,"
sotalol,sotalol,1.0,sotalol,SOTALOL HYDROCHLORIDE | Sotalol Hydrochloride,SOTALOL HYDROCHLORIDE,Bryant Ranch Prepack | Proficient Rx LP,,0,10,11,5,,"7 DRUG INTERACTIONS Class I or III Antiarrhythmics or other drugs that prolong the QT interval: Avoid concomitant use ( 7.1 ) Digoxin, calcium channel blocker: increased risk of bradycardia, hypotension, heart failure ( 7.2 ) Dosage of insulin or antidiabetic drugs may need adjustment ( 7.4 ) Alumin","6 ADVERSE REACTIONS The most common adverse reactions (≥2%) for sotalol hydrochloride are: fatigue 4%, bradycardia (less than 50 bpm) 3%, dyspnea 3%, proarrhythmia 3%, asthenia 2%, and dizziness 2%",1 INDICATIONS AND USAGE Sotalol hydrochloride tablets are an antiarrhythmic indicated for: the treatment of life-threatening ventricular arrhythmias ( 1.1 ) the maintenance of normal sinus rhythm in patients with atrial fibrillation or flutter (AFIB/AFL) ( 1.2 ) Limitations of Use Sotalol hydrochlor
spironolactone,spironolactone,0.95,spironolactone,Spironolactone | spironolactone,SPIRONOLACTONE,A-S Medication Solutions | Major Pharmaceuticals | McKesson Corporation dba SKY Packaging,,0,10,13,5,,"7 DRUG INTERACTIONS Agents increasing serum potassium: Concomitant administration can lead to hyperkalemia ( 5.1 , 7.1 )",6 ADVERSE REACTIONS The following clinically significant adverse reactions are described elsewhere in the labeling: Hyperkalemia [see Warnings and Precautions (5.1) ] Hypotension and Worsening Renal Function [see Warnings and Precautions (5.2) ] Electrolyte and Metabolic Abnormalities [see Warnings ,"1 INDICATIONS AND USAGE Spironolactone tablets are an aldosterone antagonist indicated for: The treatment of NYHA Class III-IV heart failure and reduced ejection fraction to increase survival, manage edema, and to reduce the need for hospitalization for heart failure ( 1.1 )"
squalane,squalane,0.99,squalane,Aavini Double Layer Brightening Spot Correcting Essence Oil | Vitamin C Oil | YVTYVT DARK SPOT CORRECTOR,"AAVINI DOUBLE LAYER BRIGHTENING SPOT CORRECTING ESSENCE OIL | SQUALANE, NIACINAMIDE | VITAMIN C OIL","Beijing JUNGE Technology Co., Ltd. | Guangzhou Kadiya Biotechnology Co., Ltd. | Qingyuan Moksha Biotechnology Co., Ltd.",,2,0,0,1,"1.Before use, perform a skin test on your arm and discontinue use if you have allergy symptoms or skin abnormalities",,,"The fragrance of sweet orange can relieve tension and stress, improve insomnia caused by anxiety, sweet orange essential oil can whiten and moisturize the skin, lighten the skin, moisturize and protect the skin"
squalane se,squalane,0.95,squalane,Aavini Double Layer Brightening Spot Correcting Essence Oil | Vitamin C Oil | YVTYVT DARK SPOT CORRECTOR,"AAVINI DOUBLE LAYER BRIGHTENING SPOT CORRECTING ESSENCE OIL | SQUALANE, NIACINAMIDE | VITAMIN C OIL","Beijing JUNGE Technology Co., Ltd. | Guangzhou Kadiya Biotechnology Co., Ltd. | Qingyuan Moksha Biotechnology Co., Ltd.",,2,0,0,1,"1.Before use, perform a skin test on your arm and discontinue use if you have allergy symptoms or skin abnormalities",,,"The fragrance of sweet orange can relieve tension and stress, improve insomnia caused by anxiety, sweet orange essential oil can whiten and moisturize the skin, lighten the skin, moisturize and protect the skin"
squalen,squalene,0.95,squalene,E.O.L. | Lipotox | Vascuflow,"MELATONIN, L-ARGININE, L-CITRULLINE, UBIDECARENONUM, SQUALENE, CALCAREA CARBONICA, CHOLESTERINUM, COUMARINUM, FORMALINUM, GELSEMIUM SEMPERVIRENS, ALPHA-LIPOICUM ACIDUM, MERCURIUS CORROSIVUS, PLUMBUM METALLICUM, PANTOTHENIC ACID, GLONOINUM, LYCOPODIUM CLAVATUM, PHOSPHORUS, BERBERIS VULGARIS, RED YEAST RICE, NITRIC OXIDE, PROTEUS (MORGANI), RHUS TOX | SQUALENE, CHOLESTERINUM, ESTRADIOL, PROGESTERONE, ASPARTAME, BENZALKONIUM CHLORIDE, FORMALINUM, METHYLENE CHLORIDE, METHYLPARABEN, PROPYLPARABEN, SODIUM BENZOATE, SODIUM CITRATE, TITANIUM DIOXIDE, ZINCUM OXYDATUM, ARSENICUM ALBUM, LYCOPODIUM CLAVATUM, NUX VOMICA, PHOSPHORICUM ACIDUM, PHOSPHORUS, ACETICUM ACIDUM, BENZOICUM ACIDUM, BENZYL ALCOHOL, BORICUM ACIDUM, CHLORINUM, CORTISONE ACETICUM, EUGENOL, FOLLICULINUM, ISOPROPYL PALMITATE, LACTICUM ACIDUM, PETROLEUM JELLY, PHENYL BUTAZONE, PLUMBUM METALLICUM, | STILLINGIA SYLVATICA, ZINCUM GLUCONICUM, THIAMINUM HYDROCHLORICUM, FRAGARIA VESCA, NICOTINAMIDUM, RHEUM (PALMATUM), SEROTONIN (HYDROCHLORIDE), 5-HYDROXYTRYPTOPHAN, BETAINUM MURIATICUM, BIOTIN, CHOLINUM, CYSTEINUM, DL-METHIONINE, L-ALANINE, L-CYSTINE, L-GLUTAMIC ACID, L-GLUTAMINE, L-LYSINE, L-METHIONINE, L-SERINE, PARA-AMINOBENZOIC ACID, POTASSIUM GLUCONATE, THYMUS (SUIS), THYROIDINUM (SUIS), UBIDECARENONUM, VITAMIN D3, DOPAMINE HYDROCHLORIDE, LITHIUM BROMATUM, SQUALENE, VACCINIUM MACROCARPON, OXYTOCIN,","BioActive Nutritional, Inc. | Deseret Biologicals, Inc. | InLight Creation, LLC.",,5,0,0,4,"WARNINGS: If pregnant or breast-feeding, ask a health professional before use",,,For the temporary relief of the symptoms including:
standardized as nlt hederacoside c,hederacoside C,0.95,hederacoside C,Betadine | SILICEA,POVIDONE-IODINE | SILICEA,"Atlantis Consumer Healthcare, Inc. | Rxhomeo Private Limited d.b.a. Rxhomeo, Inc",,4,0,0,1,"WARNINGS This product is to be used for self-limiting conditions If symptoms do not improve in 4 days, or worsen, discontinue use and seek assistance of health professional",,,INDICATIONS Condition listed above or as directed by the physician
stearamidopropyl dimethylamine,stearamidopropyl dimethylamine,0.99,stearamidopropyl dimethylamine,Chlorpromazine Hydrochloride | chlorpromazine hydrochloride,CHLORPROMAZINE HYDROCHLORIDE,Advagen Pharma Ltd | REMEDYREPACK INC.,,10,0,2,1,WARNINGS Increased Mortality in Elderly Patients with Dementia-Related Psychosis Elderly patients with dementia-related psychosis treated with antipsychotic drugs are at an increased risk of death,,ADVERSE REACTIONS A localized irritant reaction may occur if this Product is applied to the normal skin surrounding the wart,INDICATIONS AND USAGE This Product is indicated for the topical treatment and removal of common warts and plantar warts
stearic,stearic acid,0.95,stearic acid,Anubis Barcelona Spa Line | iq shield pro 60g goat milk silk | turmeric kojic acid product,"60G GOAT MILK SILK SOAP | ORYZA SATIVA (RICE) STARCH, PERLITE, PALMITIC ACID | TURMERIC KOJIC ACID SOAP",AIKM Product Corp | ANUBIS COSMETICS SL,,1,0,0,1,warnings For external use only,,,"usage Wash hands, take a shower, clean the skin,"
stearic ac,stearic acid,0.95,stearic acid,Anubis Barcelona Spa Line | iq shield pro 60g goat milk silk | turmeric kojic acid product,"60G GOAT MILK SILK SOAP | ORYZA SATIVA (RICE) STARCH, PERLITE, PALMITIC ACID | TURMERIC KOJIC ACID SOAP",AIKM Product Corp | ANUBIS COSMETICS SL,,1,0,0,1,warnings For external use only,,,"usage Wash hands, take a shower, clean the skin,"
stearic acid,stearic acid,0.99,stearic acid,Anubis Barcelona Spa Line | iq shield pro 60g goat milk silk | turmeric kojic acid product,"60G GOAT MILK SILK SOAP | ORYZA SATIVA (RICE) STARCH, PERLITE, PALMITIC ACID | TURMERIC KOJIC ACID SOAP",AIKM Product Corp | ANUBIS COSMETICS SL,,1,0,0,1,warnings For external use only,,,"usage Wash hands, take a shower, clean the skin,"
stearyl alcohol,stearyl alcohol,0.99,stearyl alcohol,Chemstat | Chemtox | Hepatatox,"GLYCERINUM, TARAXACUM OFFICINALE, PHYTOLACCA DECANDRA, ARSENICUM ALBUM, NITRICUM ACIDUM, NUX VOMICA, PETROLEUM, PHOSPHORICUM ACIDUM, PHOSPHORUS, ACETYLSALICYLICUM ACIDUM, GLONOINUM, INSULINUM (HUMAN), LITHIUM CARBONICUM, THYROIDINUM (SUIS), ACETICUM ACIDUM, BENZOICUM ACIDUM, BENZYL ALCOHOL, BORICUM ACIDUM, CHLORINUM, CORTISONE ACETICUM, EUGENOL, FOLLICULINUM, ISOPROPYL PALMITATE, LACTICUM ACIDUM, PETROLEUM JELLY, PHENYL BUTAZONE, PLUMBUM METALLICUM, POTASSIUM SORBATE, RESORCINUM, SALICYLICUM ACIDUM, | TRITICUM AESTIVUM, BERBERIS VULGARIS, GLYCYRRHIZA GLABRA, LAPPA MAJOR, RHAMNUS FRANGULA, RHAMNUS PURSHIANA, STILLINGIA SYLVATICA, TRIFOLIUM PRATENSE, XANTHOXYLUM FRAXINEUM, PHYTOLACCA DECANDRA, GLANDULA SUPRARENALIS SUIS, HEPAR SUIS, LYMPH NODE (SUIS), THYROIDINUM (SUIS), BELLADONNA, LYCOPODIUM CLAVATUM, NITRICUM ACIDUM, NUX VOMICA, PHOSPHORICUM ACIDUM, PHOSPHORUS, SALICYLICUM ACIDUM, CORTISONE ACETICUM, EUGENOL, STEARYL ALCOHOL, XYLITOL, FOLLICULINUM, BENZOICUM ACIDUM, CHLORINUM, POTASSIUM SORBATE, | TRITICUM AESTIVUM, CHELIDONIUM MAJUS, TARAXACUM OFFICINALE, GLUTATHIONE, HEPAR SUIS, THYROIDINUM (SUIS), LYCOPODIUM CLAVATUM, NUX VOMICA, PHOSPHORICUM ACIDUM, ADRENOCORTICOTROPHIN, SALICYLICUM ACIDUM, CORTISONE ACETICUM, EUGENOL, STEARYL ALCOHOL, XYLITOL, FOLLICULINUM, BENZOICUM ACIDUM, CHLORINUM POTASSIUM SORBATE, SORBITOL, RESORCINUM, BENZYL ALCOHOL, LACTICUM ACIDUM, ISOPROPYL PALMITATE, BORICUM ACIDUM, ACETICUM ACIDUM, PHENYL BUTAZONE, PETROLEUM JELLY, PLUMBUM METALLICUM","BioActive Nutritional, Inc | BioActive Nutritional, Inc. | Energique, Inc.",,5,0,0,2,"WARNINGS: If pregnant or breastfeeding, ask a health professional before use",,,"INDICATIONS: May temporarily relieve weakness and exhaustion, minor abdominal cramps, bloating, and vomiting.** **Claims based on traditional homeopathic practice, not accepted medical evidence"
sterculia gum,sterculia gum,0.95,sterculia gum,Varenicline,VARENICLINE,Aurobindo Pharma Limited,,10,5,6,5,"WARNINGS Suicidal Behavior and Ideation Antiepileptic drugs (AEDs), including gabapentin, increase the risk of suicidal thoughts or behavior in patients taking these drugs for any indication","Drug Interactions In vitro studies were conducted to investigate the potential of gabapentin to inhibit the major cytochrome P450 enzymes (CYP1A2, CYP2A6, CYP2C9, CYP2C19, CYP2D6, CYP2E1, and CYP3A4) that mediate drug and xenobiotic metabolism using isoform selective marker substrates and human live","ADVERSE REACTIONS Postherpetic Neuralgia The most commonly observed adverse events associated with the use of gabapentin in adults, not seen at an equivalent frequency among placebo-treated patients, were dizziness, somnolence, and peripheral edema","INDICATIONS & USAGE Gabapentin Tablets, USP Read the Medication Guide before you start taking gabapentin and each time you get a refill"
stramonium tincture,atropine,0.95,atropine,ATROPINE SULFATE | Atropine Sulfate | Atropine sulfate,ATROPINE SULFATE,"HF Acquisition Co LLC, DBA HealthFirst | Medical Purchasing Solutions, LLC",,0,1,7,1,,7 DRUG INTERACTIONS 7.1 Mexiletine Atropine Sulfate Injection decreased the rate of mexiletine absorption without altering the relative oral bioavailability; this delay in mexiletine absorption was reversed by the combination of atropine and intravenous metoclopramide during pretreatment for anesthe,6 ADVERSE REACTIONS The following adverse reactions have been identified during post-approval use of atropine sulfate,"1 INDICATIONS & USAGE Atropine Sulfate Injection, USP, is indicated for temporary blockade of severe or life threatening muscarinic effects, e.g., as an antisialagogue, an antivagal agent, an antidote for organophosphorus or muscarinic mushroom poisoning, and to treat bradyasystolic cardiac arrest"
streptomycin,streptomycin,0.95,streptomycin,Streptomycin,STREPTOMYCIN,"XGen Pharmaceuticals DJB, Inc.",,10,1,14,5,WARNINGS Ototoxicity Both vestibular and auditory dysfunction can follow the administration of streptomycin,"Drug Interactions The ototoxic effects of the aminoglycosides, including streptomycin, are potentiated by the coadministration of ethacrynic acid, furosemide, mannitol and possibly other diuretics","ADVERSE REACTIONS The following reactions are common: vestibular ototoxicity (nausea, vomiting, and vertigo); paresthesia of face; rash; fever; urticaria; angioneurotic edema; and eosinophilia","INDICATIONS AND USAGE Streptomycin is indicated for the treatment of individuals with moderate to severe infections caused by susceptibile strains of microorganisms in the specific conditions listed below: Mycobacterium tuberculosis: The Advisory Council for the Elimination of Tuberculosis, the Amer"
stronium chloride,strontium chloride,0.95,strontium chloride,Strontium Muriaticum,STRONTIUM MURIATICUM,"Hahnemann Laboratories, INC.",,0,0,0,0,,,,
strontium ranelate,strontium ranelate,0.99,strontium ranelate,Strontium Nitricum | Strontium Oxydatum | Strontium Sulphuricum,STRONTIUM NITRICUM | STRONTIUM OXYDATUM | STRONTIUM SULPHURICUM,"Hahnemann Laboratories, INC.",,0,0,0,0,,,,
strychine,strychnine,0.99,strychnine,BHI Migraine | E07 TYPE A BALANCE | Joint Care,"ACETIC ACID, ARANEUS DIADEMATUS, ASAFETIDA, BRYONIA ALBA WHOLE, TRIBASIC CALCIUM PHOSPHATE, ACTIVATED CHARCOAL, CINCHONA OFFICINALIS BARK, MARSDENIA CONDURANGO BARK, TUBOCURARINE CHLORIDE, KALMIA LATIFOLIA LEAF, LYCOPODIUM CLAVATUM SPORE, SODIUM SULFATE, PHOSPHORIC ACID, PULSATILLA VULGARIS, CLAVICEPS PURPUREA SCLEROTIUM, AND SILICON DIOXIDE | ACONITUM NAPELLUS, ARALIA QUINQUEFOLIA, CHININUM ARSENICOSUM, COFFEA CRUDA, COLCHICUM AUTUMNALE, CRATAEGUS OXYACANTHA FRUIT, ECHINACEA PURPUREA, ESCHSCHOLTZIA CALIFORNICA, HUMULUS LUPULUS, IGNATIA AMARA, LYCOPUS VIRGINICUS, NUX VOMICA, PASSIFLORA INCARNATA, SCUTELLARIA LATERIFLORA, STRYCHNINUM PHOSPHORICUM, THYROIDINUM, VISCUM ALBUM FRUITING TOP, YELLOW JASMINE ROOT | URICUM ACIDUM, ACONITUM NAP.,APIS MEL., ARNICA, ARSENICUM ALB, BELLADONNA,BENZOICUM ACIDUM, BRYONIA, CALC. CARB., CHAMOMILLA, CINCHONA, COLCHICUM, EUPATORIUM PERF., GAULTHERIAPROCUMBENS, GUAIACUM, IODIUM, KALI BIC, KALMIA,LEDUM, PULSATILLA, RHUS TOXICODENDRON, RUTA,SABINA, STRYCHNINUM, LAPPA, PHYTOLACCA, SYMPHYTUM,","Apex Energetics Inc. | MediNatura Inc | Newton Laboratories, Inc.",,5,0,0,2,"If pregnant or breastfeeding , ask a health professional before use",,,"Uses: For temporary relief of minor: occasional sleeplessness* menstrual cramping* restlessness* irritability* *Claims based on traditional homeopathic practice, not accepted medical evidence"
succinylcholine,succinylcholine,0.95,succinylcholine,Anectine | Succinylcholine Chloride,SUCCINYLCHOLINE CHLORIDE,"Civica, Inc. | Sandoz Inc | Zydus Pharmaceuticals USA Inc.",,0,4,5,2,,"7 DRUG INTERACTIONS Drugs that May Enhance the Neuromuscular Blocking Action of Succinylcholine : promazine, oxytocin, aprotinin, certain non-penicillin antibiotics, quinidine, β-adrenergic blockers, procainamide, lidocaine, trimethaphan, lithium carbonate, magnesium salts, quinine, chloroquine, iso","6 ADVERSE REACTIONS The following clinically significant adverse reactions are discussed in greater detail in other sections of the labeling: Ventricular Dysrhythmias, Cardiac Arrest, and Death from Hyperkalemic Rhabdomyolysis in Pediatric Patients [see Warnings and Precautions ( 5.1 )] Anaphylaxis ",1 INDICATIONS AND USAGE Succinylcholine chloride injection is indicated in adults and pediatric patients: as an adjunct to general anesthesia to facilitate tracheal intubation to provide skeletal muscle relaxation during surgery or mechanical ventilation
succinylcholine chloride,succinylcholine,0.99,succinylcholine,Anectine | Succinylcholine Chloride,SUCCINYLCHOLINE CHLORIDE,"Civica, Inc. | Sandoz Inc | Zydus Pharmaceuticals USA Inc.",,0,4,5,2,,"7 DRUG INTERACTIONS Drugs that May Enhance the Neuromuscular Blocking Action of Succinylcholine : promazine, oxytocin, aprotinin, certain non-penicillin antibiotics, quinidine, β-adrenergic blockers, procainamide, lidocaine, trimethaphan, lithium carbonate, magnesium salts, quinine, chloroquine, iso","6 ADVERSE REACTIONS The following clinically significant adverse reactions are discussed in greater detail in other sections of the labeling: Ventricular Dysrhythmias, Cardiac Arrest, and Death from Hyperkalemic Rhabdomyolysis in Pediatric Patients [see Warnings and Precautions ( 5.1 )] Anaphylaxis ",1 INDICATIONS AND USAGE Succinylcholine chloride injection is indicated in adults and pediatric patients: as an adjunct to general anesthesia to facilitate tracheal intubation to provide skeletal muscle relaxation during surgery or mechanical ventilation
sucralfate,sucralfate,0.95,sucralfate,Sucralfate,SUCRALFATE,"A-S Medication Solutions | NuCare Pharmaceuticals,Inc. | REMEDYREPACK INC.",,0,7,9,3,,"Drug Interactions Some studies have shown that simultaneous sucralfate administration in healthy volunteers reduced the extent of absorption (bioavailability) of single doses of the following: cimetidine, digoxin, fluoroquinolone antibiotics, ketoconazole, l-thyroxine, phenytoin, quinidine, ranitidi",ADVERSE REACTIONS Adverse reactions to sucralfate in clinical trials were minor and only rarely led to discontinuation of the drug,INDICATIONS AND USAGE Sucralfate tablets are indicated in: Short-term treatment (up to 8 weeks) of active duodenal ulcer
