ingredient,canonical_name,groq_confidence,fda_search_term,brand_names,generic_names,manufacturers,dosage_forms,warnings_count,interactions_count,adverse_count,indications_count,first_warning,first_interaction,first_adverse,first_indication
magnesium oxide m,magnesium oxide,0.95,magnesium oxide,Intimate | Magnesium Oxide | Menatrol,"ANACARDIUM ORIENTALE, AURUM MURIATICUM NATRONATUM, CAMPHORA, DNA (HUMAN), GERMANIUM METALLICUM, HELLEBORUS NIGER, HYDROGEN, LAC CANINUM, LAC MATERNA HUMANUM, LITHIUM CARBONICUM, MAGNESIA OXYDATA, NATRUM CARBONICUM, NEON, OXYTOCIN, PLACENTA TOTALIS SUIS, RHUS GLABRA, SACCHARUM OFFICINALE, STRAMONIUM, THUJA OCCIDENTALIS | FOLATE, MULTIVITAMIN | MAGNESIUM OXIDE","Deseret Biologicals, Inc. | Method Pharmaceuticals, LLC | PureTek Corporation",,5,1,2,5,"WARNINGS: If pregnant or breastfeeding, ask a health professional before use","Drug Interactions: Consult with a licensed healthcare practitioner before use if taking prescription medications, especially those affecting bone health or hormonal therapies",Adverse Reactions: Possible side effects may include gastrointestinal upset,For the temporary relief of symptoms including:
magnesium salts,magnesium salts,0.95,magnesium salts,Acid Reducer | Naproxen,ESOMEPRAZOLE MAGNESIUM | NAPROXEN,A-S Medication Solutions | CVS Pharmacy,,3,10,15,5,Warnings Allergy alert : Do not use if you are allergic to esomeprazole,7 DRUG INTERACTIONS See Table 1 for clinically significant drug interactions with naproxen,6 ADVERSE REACTIONS The following adverse reactions are discussed in greater detail in other sections of the labeling:,1 INDICATIONS AND USAGE Naproxen tablets and naproxen sodium tablets are indicated for: the relief of the signs and symptoms of:
magnesium sulfate,magnesium sulfate,0.99,magnesium sulfate,MEB Gluco-Vitality Patch | MEB PainGuard Patch | MEB Puri-Mega | MEB Puri-vega,MEB GLUCO-VITALITY PATCH | MEB PAINGUARD PATCH | MEB PURI-MEGA | MEB PURI-VEGA,"Kadesh Incoporation Co,Ltd",,5,0,0,4,"Do not Use *If the needles inside the patch do not cause a tingling sensation, do not use it and replace it with a new patch",,,"The MEB PainGuard Patch is designed to provide effective pain relief and treat various types of pain, providing fast-acting and long-lasting relief from pain, helping to alleviate discomfort caused by muscle pain, nerve pain, and other common types of pain"
magnesium sulphate,magnesium sulfate,0.99,magnesium sulfate,MEB Gluco-Vitality Patch | MEB PainGuard Patch | MEB Puri-Mega | MEB Puri-vega,MEB GLUCO-VITALITY PATCH | MEB PAINGUARD PATCH | MEB PURI-MEGA | MEB PURI-VEGA,"Kadesh Incoporation Co,Ltd",,5,0,0,4,"Do not Use *If the needles inside the patch do not cause a tingling sensation, do not use it and replace it with a new patch",,,"The MEB PainGuard Patch is designed to provide effective pain relief and treat various types of pain, providing fast-acting and long-lasting relief from pain, helping to alleviate discomfort caused by muscle pain, nerve pain, and other common types of pain"
magnesium trisilicate,magnesium trisilicate,0.99,magnesium trisilicate,Acid Reducer | Esomeprazole Magnesium | MILK OF MAGNESIA,ESOMEPRAZOLE MAGNESIUM | MAGNESIUM HYDROXIDE,Bryant Ranch Prepack | CVS Pharmacy | Strategic Sourcing Services LLC,,3,10,8,1,Warnings Allergy alert : Do not use if you are allergic to esomeprazole,7 DRUG INTERACTIONS Tables 3 and 4 include drugs with clinically important drug interactions and interaction with diagnostics when administered concomitantly with esomeprazole and instructions for preventing or managing them,6 ADVERSE REACTIONS The following serious adverse reactions are described below and elsewhere in labeling: Acute Tubulointerstitial Nephritis [see Warnings and Precautions (5.2) ] Clostridium difficile -Associated Diarrhea [see Warnings and Precautions (5.3) ] Bone Fracture [see Warnings and Precaut,Uses treats frequent heartburn (occurs 2 or more days a week) not intended for immediate relief of heartburn; this drug may take 1 to 4 days for full effect
magnesuim,magnesium,0.95,magnesium,Acid Reducer | Esomeprazole Magnesium | MILK OF MAGNESIA,ESOMEPRAZOLE MAGNESIUM | MAGNESIUM HYDROXIDE,Bryant Ranch Prepack | CVS Pharmacy | Strategic Sourcing Services LLC,,3,10,8,1,Warnings Allergy alert : Do not use if you are allergic to esomeprazole,7 DRUG INTERACTIONS Tables 3 and 4 include drugs with clinically important drug interactions and interaction with diagnostics when administered concomitantly with esomeprazole and instructions for preventing or managing them,6 ADVERSE REACTIONS The following serious adverse reactions are described below and elsewhere in labeling: Acute Tubulointerstitial Nephritis [see Warnings and Precautions (5.2) ] Clostridium difficile -Associated Diarrhea [see Warnings and Precautions (5.3) ] Bone Fracture [see Warnings and Precaut,Uses treats frequent heartburn (occurs 2 or more days a week) not intended for immediate relief of heartburn; this drug may take 1 to 4 days for full effect
magnesum,magnesium,0.95,magnesium,Acid Reducer | Esomeprazole Magnesium | MILK OF MAGNESIA,ESOMEPRAZOLE MAGNESIUM | MAGNESIUM HYDROXIDE,Bryant Ranch Prepack | CVS Pharmacy | Strategic Sourcing Services LLC,,3,10,8,1,Warnings Allergy alert : Do not use if you are allergic to esomeprazole,7 DRUG INTERACTIONS Tables 3 and 4 include drugs with clinically important drug interactions and interaction with diagnostics when administered concomitantly with esomeprazole and instructions for preventing or managing them,6 ADVERSE REACTIONS The following serious adverse reactions are described below and elsewhere in labeling: Acute Tubulointerstitial Nephritis [see Warnings and Precautions (5.2) ] Clostridium difficile -Associated Diarrhea [see Warnings and Precautions (5.3) ] Bone Fracture [see Warnings and Precaut,Uses treats frequent heartburn (occurs 2 or more days a week) not intended for immediate relief of heartburn; this drug may take 1 to 4 days for full effect
magnisam,magnesium sulfate,0.95,magnesium sulfate,MEB Gluco-Vitality Patch | MEB PainGuard Patch | MEB Puri-Mega | MEB Puri-vega,MEB GLUCO-VITALITY PATCH | MEB PAINGUARD PATCH | MEB PURI-MEGA | MEB PURI-VEGA,"Kadesh Incoporation Co,Ltd",,5,0,0,4,"Do not Use *If the needles inside the patch do not cause a tingling sensation, do not use it and replace it with a new patch",,,"The MEB PainGuard Patch is designed to provide effective pain relief and treat various types of pain, providing fast-acting and long-lasting relief from pain, helping to alleviate discomfort caused by muscle pain, nerve pain, and other common types of pain"
magnisium,magnesium,0.95,magnesium,Acid Reducer | Esomeprazole Magnesium | MILK OF MAGNESIA,ESOMEPRAZOLE MAGNESIUM | MAGNESIUM HYDROXIDE,Bryant Ranch Prepack | CVS Pharmacy | Strategic Sourcing Services LLC,,3,10,8,1,Warnings Allergy alert : Do not use if you are allergic to esomeprazole,7 DRUG INTERACTIONS Tables 3 and 4 include drugs with clinically important drug interactions and interaction with diagnostics when administered concomitantly with esomeprazole and instructions for preventing or managing them,6 ADVERSE REACTIONS The following serious adverse reactions are described below and elsewhere in labeling: Acute Tubulointerstitial Nephritis [see Warnings and Precautions (5.2) ] Clostridium difficile -Associated Diarrhea [see Warnings and Precautions (5.3) ] Bone Fracture [see Warnings and Precaut,Uses treats frequent heartburn (occurs 2 or more days a week) not intended for immediate relief of heartburn; this drug may take 1 to 4 days for full effect
magnisum l,magnesium,0.95,magnesium,Acid Reducer | Esomeprazole Magnesium | MILK OF MAGNESIA,ESOMEPRAZOLE MAGNESIUM | MAGNESIUM HYDROXIDE,Bryant Ranch Prepack | CVS Pharmacy | Strategic Sourcing Services LLC,,3,10,8,1,Warnings Allergy alert : Do not use if you are allergic to esomeprazole,7 DRUG INTERACTIONS Tables 3 and 4 include drugs with clinically important drug interactions and interaction with diagnostics when administered concomitantly with esomeprazole and instructions for preventing or managing them,6 ADVERSE REACTIONS The following serious adverse reactions are described below and elsewhere in labeling: Acute Tubulointerstitial Nephritis [see Warnings and Precautions (5.2) ] Clostridium difficile -Associated Diarrhea [see Warnings and Precautions (5.3) ] Bone Fracture [see Warnings and Precaut,Uses treats frequent heartburn (occurs 2 or more days a week) not intended for immediate relief of heartburn; this drug may take 1 to 4 days for full effect
magnsium,magnesium,0.95,magnesium,Acid Reducer | Esomeprazole Magnesium | MILK OF MAGNESIA,ESOMEPRAZOLE MAGNESIUM | MAGNESIUM HYDROXIDE,Bryant Ranch Prepack | CVS Pharmacy | Strategic Sourcing Services LLC,,3,10,8,1,Warnings Allergy alert : Do not use if you are allergic to esomeprazole,7 DRUG INTERACTIONS Tables 3 and 4 include drugs with clinically important drug interactions and interaction with diagnostics when administered concomitantly with esomeprazole and instructions for preventing or managing them,6 ADVERSE REACTIONS The following serious adverse reactions are described below and elsewhere in labeling: Acute Tubulointerstitial Nephritis [see Warnings and Precautions (5.2) ] Clostridium difficile -Associated Diarrhea [see Warnings and Precautions (5.3) ] Bone Fracture [see Warnings and Precaut,Uses treats frequent heartburn (occurs 2 or more days a week) not intended for immediate relief of heartburn; this drug may take 1 to 4 days for full effect
magnsium citrate,magnesium citrate,0.95,magnesium citrate,Folcyteine | citroma,MAGNESIUM CITRATE | MULTIVITAMIN,"BETTER LIVING BRANDS LLC | Consumer Product Partners, LLC | PureTek Corporation",,1,0,2,2,Warnings for this product,,"Adverse Reaction Distributed by: Consumer Product Partners, LLC St",Uses for relief of occasional constipation (irregularity)
malathion,malathion,0.99,malathion,Malathion | Ovide | POP Detox 6045,MALATHION | POP DETOX,"Professional Complementary Health Formulas | Sun Pharmaceutical Industries, Inc. | Taro Pharmaceuticals U.S.A., Inc.",,6,0,4,1,WARNINGS Consult a doctor if condition worsens or symptoms persist,,ADVERSE REACTIONS Malathion has been shown to be irritating to the skin and scalp,"INDICATIONS For the temporary relief of occasional headache, nausea or vomiting, difficulty breathing, nasal irritation, skin irritation, or dizziness due to sensitivity to or exposure to persistent organic pollutants.*"
malic acid,malic acid,0.99,malic acid,Bact Combination | GUNA-GERIATRICS | OMEOSPORT,".ALPHA.-KETOGLUTARIC ACID - ACONITIC ACID, CIS - ADENOSINE TRIPHOSPHATE - ALPHA LIPOIC ACID - ASCORBIC ACID - ASIAN GINSENG - BARIUM CATION - BEET - CEROUS OXALATE NONAHYDRATE - COENZYME A - CYSTEINE - FUMARIC ACID - LACTIC ACID, DL - MAGNESIUM CARBONATE - MALIC ACID - MANGANESE PHOSPHATE, DIBASIC - PORK - PYRIDOXINE HYDROCHLORIDE - RIBOFLAVIN - SODIUM DIETHYL OXALACETATE - SODIUM PYRUVATE - SUCCINIC ACID - SUS SCROFA ADRENAL GLAND - THIAMINE HYDROCHLORIDE - SUS SCROFA EMBRYO - | 1,4-BENZOQUINONE - ARNICA MONTANA - OXYTOCIN - BARIUM CARBONATE - BARIUM OXALOSUCCINATE - CORTICOTROPIN - LEAD - LEVOTHYROXINE - LUTRELIN - MALIC ACID - MELATONIN - NEUROTROPHIN-3 - NEUROTROPHIN-4 - PHENYLALANINE - PORK LIVER - PYRUVIC ACID - RINFABATE - SUS SCROFA ADRENAL GLAND - SUS SCROFA FRONTAL LOBE - SUS SCROFA HYPOTHALAMUS - THYROTROPIN ALFA - BRAIN-DERIVED NEUROTROPHIC FACTOR HUMAN - | ADENOSINUM TRIPHOSPHORICUM DINATRUM, CINNAMIC ACID, COLIBACILLINUM CUM NATRUM MURIATICUM, STREPTOCOCCUS BOVIS DNA, DYSENTERY BACILLUS, ECHINACEA (ANGUSTIFOLIA), ENTEROCOCCUS FAECALIS, HELICOBACTER PYLORI, HELICOBACTER PYLORI DNA, LEGIONELLA PNEUMOPHILA, LISTERIA MONOCYTOGENES, MALICUM ACIDUM, MYCOPLASMA PNEUMONIAE, NATRUM OXALACETICUM, OROTICUM ACIDUM, PETROSELINUM SATIVUM, PNEUMOCOCCINUM, PROTEUS (MIRABILIS), PROTEUS (MORGANI), PROTEUS (VULGARIS), PSEUDOMONAS AERUGINOSA, RIBOFLAVINUM,","Deseret Biologicals, Inc. | Guna spa",,5,0,0,1,WARNINGS Stop use and ask doctor if symptoms persist more than 5 days,,,USES TAKE 15 MINUTES BEFORE MEALS
maltodextrine,maltodextrin,0.98,maltodextrin,Aspartame/MSG Detox,"CHELIDONIUM MAJUS, ARNICA MONTANA, PHYTOLACCA DECANDRA, NITRICUM ACIDUM, NUX VOMICA, PHOSPHORICUM ACIDUM, BISPHENOL A (BPA), DEXTROSE, MALTODEXTRIN, SUCRALOSE, ASPARTIC ACID, DIKETOPIPERAZINE, DOPAMINE HYDROCHLORIDE, FORMALINUM, FORMICUM ACIDUM, L-PHENYLALANINE, METHYL ALCOHOL, MONOSODIUM GLUTAMATE","Deseret Biologicals, Inc.",,5,0,0,4,"WARNINGS: If pregnant or breastfeeding, ask a health professional before use",,,For the temporary relief of symptoms including:
mandelic acid,mandelic acid,0.99,mandelic acid,Moisturizing Antibacterial | Naproxen,BENZALKONIUM CHLORIDE | NAPROXEN,A-S Medication Solutions | Walmart Inc.,,8,2,4,1,WARNINGS NOT FOR INJECTION,Drug Interactions: Specific drug interaction studies have not been conducted with ofloxacin ophthalmic solution,ADVERSE REACTIONS Ophthalmic use: The most frequently reported drug-related adverse reaction was transient ocular burning or discomfort,INDICATIONS AND USAGE Ofloxacin ophthalmic solution is indicated for the treatment of infections caused by susceptible strains of the following bacteria in the conditions listed below:
manesium sulphate,magnesium sulfate,0.98,magnesium sulfate,MEB Gluco-Vitality Patch | MEB PainGuard Patch | MEB Puri-Mega | MEB Puri-vega,MEB GLUCO-VITALITY PATCH | MEB PAINGUARD PATCH | MEB PURI-MEGA | MEB PURI-VEGA,"Kadesh Incoporation Co,Ltd",,5,0,0,4,"Do not Use *If the needles inside the patch do not cause a tingling sensation, do not use it and replace it with a new patch",,,"The MEB PainGuard Patch is designed to provide effective pain relief and treat various types of pain, providing fast-acting and long-lasting relief from pain, helping to alleviate discomfort caused by muscle pain, nerve pain, and other common types of pain"
manganesa,manganese,0.95,manganese,EMF Protect and Balance | MEB Gluco-Vitality Patch | MEB PainGuard Patch | Manganum Nitricum,"ALFALFA, CADMIUM SULPHURATUM, CALCAREA CARBONICA, CUPRUM METALLICUM, FERRUM METALLICUM, FUCUS VESICULOSUS, HYPERICUM PERFORATUM, KALI PHOSPHORICUM, MAGNESIA PHOSPHORICA, MANGANUM METALLICUM, MERCURIUS VIVUS, PLUMBUM METALLICUM, SILICEA, SYMPHYTUM OFFICINALE, TARENTULA HISPANA, X-RAY, YTTERBIUM OXIDE | MANGANUM NITRICUM | MEB GLUCO-VITALITY PATCH | MEB PAINGUARD PATCH","Deseret Biologicals, Inc. | Hahnemann Laboratories, INC. | Kadesh Incoporation Co,Ltd",,5,0,0,3,"WARNINGS: If pregnant or breastfeeding, ask a health professional before use",,,For the temporary relief of symptoms including:
manganese,manganese,0.95,manganese,EMF Protect and Balance | MEB Gluco-Vitality Patch | MEB PainGuard Patch | Manganum Nitricum,"ALFALFA, CADMIUM SULPHURATUM, CALCAREA CARBONICA, CUPRUM METALLICUM, FERRUM METALLICUM, FUCUS VESICULOSUS, HYPERICUM PERFORATUM, KALI PHOSPHORICUM, MAGNESIA PHOSPHORICA, MANGANUM METALLICUM, MERCURIUS VIVUS, PLUMBUM METALLICUM, SILICEA, SYMPHYTUM OFFICINALE, TARENTULA HISPANA, X-RAY, YTTERBIUM OXIDE | MANGANUM NITRICUM | MEB GLUCO-VITALITY PATCH | MEB PAINGUARD PATCH","Deseret Biologicals, Inc. | Hahnemann Laboratories, INC. | Kadesh Incoporation Co,Ltd",,5,0,0,3,"WARNINGS: If pregnant or breastfeeding, ask a health professional before use",,,For the temporary relief of symptoms including:
manganese gluconate,manganese gluconate,0.99,manganese gluconate,Diathesis II | Diathesis V 2 | Glucose Drops 2031,"GERMANIUM SESQUIOXIDE, CUPRUM METALLICUM, MANGANUM METALLICUM, INTESTINE (SUIS), LUNG (SUIS), CYSTEINUM, MANGANESE GLUCONATE, ALPHA-KETOGLUTARICUM ACIDUM, ARSENICUM ALBUM, CALCAREA CARBONICA, FUMARICUM ACIDUM, NATRUM OXALACETICUM, PHOSPHORUS | GINKGO BILOBA, PANCREAS SUIS, SPLEEN (SUIS), STOMACH (SUIS), GERMANIUM SESQUIOXIDE, COBALTUM METALLICUM, CYSTEINUM, NICCOLUM METALLICUM, ZINCUM METALLICUM, MANGANESE GLUCONATE, ALPHA-KETOGLUTARICUM ACIDUM, BARYTA CARBONICA, FUMARICUM ACIDUM, NATRUM OXALACETICUM, PHOSPHORICUM ACIDUM, PHOSPHORUS | GLUCOSE DROPS","BioActive Nutritional, Inc. | Professional Complementary Health Formulas",,5,0,0,1,"WARNINGS: If pregnant or breast-feeding, ask a health care professional before use",,,"INDICATIONS: For temporary relief of digestion, dyspepsia, constipation, back pain extending to the legs, headaches extending from ear to ear, burning in stomach, and heartburn from sweets"
manganese sulfate,manganese(II) sulfate,0.99,manganese(II) sulfate,Glimepiride | Mekinist,GLIMEPIRIDE | TRAMETINIB,American Health Packaging | Novartis Pharmaceuticals Corporation,,5,2,15,5,"WARNINGS Drugs with thyroid hormone activity, alone or together with other therapeutic agents, have been used for the treatment of obesity",7 DRUG INTERACTIONS MEKINIST is indicated for use in combination with dabrafenib,6 ADVERSE REACTIONS The following clinically significant adverse reactions are described elsewhere in the labeling: New Primary Malignancies [see Warnings and Precautions ( 5.1)] Hemorrhage [see Warnings and Precautions (5.2)] Colitis and Gastrointestinal Perforation [see Warnings and Precautions (5,1 INDICATIONS AND USAGE MEKINIST is a kinase inhibitor indicated as a single agent for the treatment of BRAF-inhibitor treatment-naïve patients with unresectable or metastatic melanoma with BRAF V600E or V600K mutations as detected by an FDA-approved test
manganese sulphate,manganese(II) sulfate,0.95,manganese(II) sulfate,Glimepiride | Mekinist,GLIMEPIRIDE | TRAMETINIB,American Health Packaging | Novartis Pharmaceuticals Corporation,,5,2,15,5,"WARNINGS Drugs with thyroid hormone activity, alone or together with other therapeutic agents, have been used for the treatment of obesity",7 DRUG INTERACTIONS MEKINIST is indicated for use in combination with dabrafenib,6 ADVERSE REACTIONS The following clinically significant adverse reactions are described elsewhere in the labeling: New Primary Malignancies [see Warnings and Precautions ( 5.1)] Hemorrhage [see Warnings and Precautions (5.2)] Colitis and Gastrointestinal Perforation [see Warnings and Precautions (5,1 INDICATIONS AND USAGE MEKINIST is a kinase inhibitor indicated as a single agent for the treatment of BRAF-inhibitor treatment-naïve patients with unresectable or metastatic melanoma with BRAF V600E or V600K mutations as detected by an FDA-approved test
mannitol,mannitol,0.95,mannitol,Mannitol | Osmitrol | Sorbitol-Mannitol,MANNITOL | SORBITOL AND MANNITOL,Baxter Healthcare Company | ICU Medical Inc. | ProPharma Distribution,,10,10,12,5,WARNINGS In severe impairment of renal function a test dose should be given (see DOSAGE AND ADMINISTRATION ),7 DRUG INTERACTIONS,6 ADVERSE REACTIONS The following adverse reactions from voluntary reports or clinical studies have been reported with OSMITROL,1 INDICATIONS AND USAGE OSMITROL is indicated for:
